codigo,estacion,categoria,departamento,provincia,latitud,longitud,icono,estado,codigo_antiguo
47290068,HUAC-HUAS,EMA,AYACUCHO,LUCANAS,-14.12861,-74.94583,M,AUTOMATICA,
230705,HUASAPAMPA,HLG,AYACUCHO,LUCANAS,-14.26667,-73.95,H,DIFERIDO,230705
114067,LLAUTA,PLU,AYACUCHO,LUCANAS,-14.2466,-74.9255,M,DIFERIDO,157200
213600,LLAUTA,HLG,AYACUCHO,LUCANAS,-14.23998,-74.92135,H,REAL,
114072,LUCANAS,PLU,AYACUCHO,LUCANAS,-14.6204,-74.2328,M,DIFERIDO,157206
114127,PAMPA GALERAS,EMA,AYACUCHO,LUCANAS,-14.66917,-74.40361,M,AUTOMATICA,
114023,PUQUIO,CO,AYACUCHO,LUCANAS,-14.69928,-74.1316,M,REAL,
115015,CORACORA,CO,AYACUCHO,PARINACOCHAS,-15.01194,-73.77945,M,REAL,
114121,HURAY HUMA,EMA,AYACUCHO,PARINACOCHAS,-14.564,-73.5558,M,AUTOMATICA,
115076,LAMPA,PLU,AYACUCHO,PAUCAR DEL SARA SARA,-15.18468,-73.34786,M,DIFERIDO,157223
115017,PAUZA,CO,AYACUCHO,PAUCAR DEL SARA SARA,-15.2753,-73.3411,M,REAL,
115155,PAUZA,PE,AYACUCHO,PAUCAR DEL SARA SARA,-15.275,-73.34083,M,AUTOMATICA,
113101,CHILCAYOC,CO,AYACUCHO,SUCRE,-13.883,-73.7268,M,DIFERIDO,156212
114044,PAUCARAY,CO,AYACUCHO,SUCRE,-14.0439,-73.6386,M,REAL,
4725B27A,PAUCARAY,EAMA,AYACUCHO,SUCRE,-14.04361,-73.63833,M,AUTOMATICA,
113022,HUANCAPI,CO,AYACUCHO,VICTOR FAJARDO,-13.749,-74.0681,M,REAL,
113100,VILCASHUAMAN,CO,AYACUCHO,VILCAS HUAMAN,-13.66882,-73.95238,M,REAL,
107068,CACHACHI,PE,CAJAMARCA,CAJABAMBA,-7.45106,-78.26855,M,REAL,
107008,CAJABAMBA,CO,CAJAMARCA,CAJABAMBA,-7.62166,-78.05131,M,REAL,
4729F0EC,CAJABAMBA,EMA,CAJAMARCA,CAJABAMBA,-7.62167,-78.05111,M,AUTOMATICA,
