codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
47E26242,BOYADERO,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,198
47E26242,BOYADERO,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,224
47E26242,BOYADERO,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.0,0.0,0.0,S/D,114
116083,CAYMA,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.133,0.251,2.066,-0.042,228
116083,CAYMA,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.197,0.306,2.365,-0.042,174
116083,CAYMA,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.216,0.217,2.179,-0.014,202
116083,CAYMA,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.092,0.099,1.448,-0.011,229
116083,CAYMA,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,-0.172,0.206,2.038,-0.088,116
472147C4,CHARCANI,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.032,0.085,0.375,-0.018,225
472147C4,CHARCANI,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.036,0.072,0.364,0.225,171
472147C4,CHARCANI,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.025,0.037,0.305,0.156,198
472147C4,CHARCANI,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.009,0.018,0.204,0.433,225
472147C4,CHARCANI,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.017,0.069,0.348,0.148,114
116077,CHIGUATA,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.002,0.002,0.014,S/D,224
116077,CHIGUATA,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.015,0.015,0.077,S/D,172
116077,CHIGUATA,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.008,0.008,0.049,S/D,199
116077,CHIGUATA,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.008,0.008,0.076,S/D,224
116077,CHIGUATA,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.088,0.088,0.35,S/D,114
116079,HUASACACHE,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.007,0.011,0.068,0.29,230
116079,HUASACACHE,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.001,0.009,0.05,0.551,176
