codigo,estacion,latitud,longitud,2026092000,2026092001
47E09732,LA ARDILLA,-4.49094,-80.38819,26.5,26.8
472FD6CE,LANCONES,-4.6429,-80.54716,26.0,25.7
270202,PUENTE AZANGARO,-14.92139,-70.18861,10.4,10.2
4721AAE4,AYMAÑA,-13.87279,-70.66759,11.4,7.9
114137,CRUCERO,-14.36416,-70.02583,5.4,2.9
4721B992,UPINA,-13.88492,-70.08281,11.9,8.3
210003,HUANCASAYA,-15.14308,-69.21467,4.5,3.0
47251282,PUENTE CARRETERA RAMIS,-15.25544,-69.87381,11.8,9.6
472E37C6,PALCA,-15.2359,-70.59313,6.4,5.4
472DE6A0,PAMPAHUTA,-15.48369,-70.67599,5.2,3.0
114134,ANANSAYA -PUNA,-14.33386,-70.52334,8.4,7.1
47256412,ENAFER,-15.83647,-70.016,10.1,7.7
472E4156,ILLPA,-15.68726,-70.07988,10.0,7.3
472CB426,LARAQUERI,-16.13592,-70.04589,8.3,6.8
472DD33A,PUNO,-15.82625,-70.01208,10.1,7.7
115156,CABANILLAS,-15.63909,-70.34661,9.2,6.5
472CF72C,JULIACA,-15.47106,-70.17122,9.7,7.6
107142,BELLAVISTA,-7.05517,-76.55836,27.7,25.9
210006,SHANAO,-6.41291,-76.60001,25.8,23.4
106144,JEPELACIO,-6.11275,-76.90761,24.0,22.4
106145,TINGO DE PONAZA,-6.93722,-76.25267,28.5,26.8
4724851A,NARANJILLO,-5.80962,-77.39321,22.7,21.3
4723013A,EL PORVENIR,-6.58906,-76.31824,28.1,26.0
47E2E456,TOCACHE,-8.18475,-76.50789,26.6,24.6
47E2C2BA,CANDARAVE,-17.268,-70.25409,9.0,7.3
47E1654C,CORACHAY II,-17.11435,-70.28838,5.3,3.8
47E12646,LAGUNA ARICOTA,-17.37093,-70.30847,12.2,10.5
47E186BE,PUENTE VIEJO,-17.61756,-70.76097,17.9,17.7
47E2B42A,BOCATOMA EL AYRO,-17.58019,-69.62673,3.2,2.3
47E143A0,CAPLINA,-17.6921,-69.92511,9.9,8.0
47E13530,CERRO BLANCO,-17.96873,-70.15231,21.1,17.9
47E195C8,CHALLATA,-17.81542,-70.09896,21.0,18.9
4722F344,LA TRANCA,-17.74313,-70.47178,18.2,17.2
47E113DC,REPRESA PAUCARANI,-17.53436,-69.76499,0.0,-0.2
117059,ANCOAQUE,-17.19972,-69.93917,0.5,0.1
