codigo,estacion,latitud,longitud,2026092518,2026092600,2026092606,2026092612,2026092618,2026092700,2026092706,2026092712,2026092718,2026092800,2026092806,2026092812,2026092818,2026092900,2026092906,2026092912,2026092918,2026093000,2026093006,2026093012
472D9030,MARCAPOMACOCHA,-11.40443,-76.32508,,,,,,,,,,,,,,,,,,,,
472D30C8,CASAGRANDE,-7.75031,-79.18869,,,,,,,,,,,,,,,,,,,,
211001,SALINAR,-7.66069,-78.96109,,,,,,,,,,,,,,,,,,,,
472EA2A4,CASCAS,-7.47987,-78.82367,,,,,,,,,,,,,,,,,,,,
47E0A2A8,EL TAMBO,-7.57398,-78.70655,,,,,,,,,,,,,,,,,,,,
472D552E,LUCMA,-7.64333,-78.55135,,,,,,,,,,,,,,,,,,,,
472CC2B6,MARMOT,-7.7635,-78.66725,,,,,,,,,,,,,,,,,,,,
472E5220,PUENTE PALMIRA,-7.54919,-78.81051,,,,,,,,,,,,,,,,,,,,
472D8346,CALLANCAS,-7.7675,-78.47729,,,,,,,,,,,,,,,,,,,,
472EB1D2,CAPACHIQUE,-7.85642,-78.31184,,,,,,,,,,,,,,,,,,,,
107131,LA FORTUNA,-7.67042,-78.40242,,,,,,,,,,,,,,,,,,,,
472E74CC,PUENTE COINA,-7.79636,-78.38012,,,,,,,,,,,,,,,,,,,,
472D60B4,USQUIL,-7.8186,-78.41497,,,,,,,,,,,,,,,,,,,,
107130,TICAPAMPA,-7.91641,-77.90148,,,,,,,,,,,,,,,,,,,,
4727319A,QUIRUVILCA,-8.00419,-78.3079,,,,,,,,,,,,,,,,,,,,
211408,CONDORCERRO,-8.65793,-78.26172,,,,,,,,,,,,,,,,,,,,
47E2F720,TINAJONES,-6.65489,-79.42792,,,,,,,,,,,,,,,,,,,,
106140,VISTA FLORIDA,-6.72775,-79.78088,,,,,,,,,,,,,,,,,,,,
106138,PUCHACA,-6.37353,-79.46673,,,,,,,,,,,,,,,,,,,,
4726F67E,PASABAR,-5.83714,-79.81911,,,,,,,,,,,,,,,,,,,,
47201542,TONGORRAPE,-6.06692,-79.68203,,,,,,,,,,,,,,,,,,,,
4725F170,HUAROS,-11.40744,-76.57584,,,,,,,,,,,,,,,,,,,,
113249,CAÑETE,-13.07475,-76.33042,,,,,,,,,,,,,,,,,,,,
212900,LA CAPILLA SENAMHI,-12.52183,-76.49658,,,,,,,,,,,,,,,,,,,,
472191AC,SOCSI,-13.02825,-76.1945,,,,,,,,,,,,,,,,,,,,
47E323B2,CARAC,-11.19005,-76.77937,,,,,,,,,,,,,,,,,,,,
47E2323E,CUCHUANCA,-11.20158,-76.7881,,,,,,,,,,,,,,,,,,,,
47E330C4,SANTA CRUZ,-11.19827,-76.63487,,,,,,,,,,,,,,,,,,,,
47E214D2,SANTO DOMINGO,-11.37,-77.02833,,,,,,,,,,,,,,,,,,,,
47E257D8,VICHAYCOCHA,-11.13916,-76.62455,,,,,,,,,,,,,,,,,,,,
472D73C2,CASAPALCA,-11.638,-76.23325,,,,,,,,,,,,,,,,,,,,
472CE45A,MATUCANA,-11.83911,-76.378,,,,,,,,,,,,,,,,,,,,
212700,PUENTE ANTAPUCRO,-12.0333,-76.6333,,,,,,,,,,,,,,,,,,,,
212605,SAN MATEO ,-11.76012,-76.30111,,,,,,,,,,,,,,,,,,,,
472EC742,SAN MATEO DE OTAO,-11.847,-76.56359,,,,,,,,,,,,,,,,,,,,
472E24B0,SANTA EULALIA,-11.92,-76.66664,,,,,,,,,,,,,,,,,,,,
472CA750,SANTIAGO DE TUNA,-11.9832,-76.5242,,,,,,,,,,,,,,,,,,,,
4724966C,SAYAN,-11.13472,-77.19833,,,,,,,,,,,,,,,,,,,,
212500,AGUA AZUL BOCATOMA,-11.80778,-76.99766,,,,,,,,,,,,,,,,,,,,
472A218A,ANTONIO RAYMONDI,-11.77606,-77.15139,,,,,,,,,,,,,,,,,,,,
112181,CAMPO DE MARTE,-12.07056,-77.04314,,,,,,,,,,,,,,,,,,,,
111286,CARABAYLLO,-11.90219,-77.03364,,,,,,,,,,,,,,,,,,,,
112278,CERES,-12.02867,-76.92711,,,,,,,,,,,,,,,,,,,,
47278214,CHOSICA,-11.92986,-76.68964,,,,,,,,,,,,,,,,,,,,
112281,LAS PALMAS,-12.15675,-77.01303,,,,,,,,,,,,,,,,,,,,
112193,SAN BORJA,-12.10859,-77.00769,,,,,,,,,,,,,,,,,,,,
112267,SAN JUAN DE LURIGANCHO,-11.98164,-76.99925,,,,,,,,,,,,,,,,,,,,
112265,SAN MARTIN DE PORRES,-12.00889,-77.08447,,,,,,,,,,,,,,,,,,,,
112208,SANTA ANITA,-12.04302,-76.97144,,,,,,,,,,,,,,,,,,,,
472AC278,VON HUMBOLDT,-12.08221,-76.93944,,,,,,,,,,,,,,,,,,,,
111290,ÑAÑA,-11.98744,-76.84194,,,,,,,,,,,,,,,,,,,,
110139,PICOY,-10.92159,-76.73703,,,,,,,,,,,,,,,,,,,,
472364DC,CARANIA,-12.3444,-75.87215,,,,,,,,,,,,,,,,,,,,
104112,SAN REGIS,-4.51301,-73.90751,,,,,,,,,,,,,,,,,,,,
4727547C,CABALLOCOCHA,-3.91125,-70.51206,,,,,,,,,,,,,,,,,,,,
47288486,PEBAS,-3.31791,-71.85962,,,,,,,,,,,,,,,,,,,,
103065,AMAZONAS,-3.76397,-73.25492,,,,,,,,,,,,,,,,,,,,
47252718,ENAPU PERU,-3.72722,-73.23694,,,,,,,,,,,,,,,,,,,,
47287402,CONTAMANA,-7.35254,-75.00632,,,,,,,,,,,,,,,,,,,,
47E8201A,SALVACION,-12.8312,-71.36446,,,,,,,,,,,,,,,,,,,,
472587E0,IÑAPARI,-10.95589,-69.578,,,,,,,,,,,,,,,,,,,,
260403,CACHUELA,-12.60442,-69.18304,,,,,,,,,,,,,,,,,,,,
47E8336C,MALINOWSKY,-12.93411,-69.5175,,,,,,,,,,,,,,,,,,,,
260402,PUENTE HERRERA,-12.61361,-69.19413,,,,,,,,,,,,,,,,,,,,
112279,PUERTO MALDONADO,-12.5873,-69.2088,,,,,,,,,,,,,,,,,,,,
260002,TAMBOPATA,-12.5925,-69.17529,,,,,,,,,,,,,,,,,,,,
4723F1BE,MOQUEGUA,-17.17874,-70.93267,,,,,,,,,,,,,,,,,,,,
110137,12 DE OCTUBRE,-10.60641,-76.52927,,,,,,,,,,,,,,,,,,,,
4725D79C,OXAPAMPA,-10.59417,-75.38417,,,,,,,,,,,,,,,,,,,,
109093,PUERTO BERMUDEZ,-10.28619,-74.94356,,,,,,,,,,,,,,,,,,,,
